# Race Metadata
# Track: cornfield_crossing
# Mode: STANDARD
# Laps: 3
# Difficulty: 1
# Number of Karts: 6
# Kart: gavroche
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
1.0000,0.0000,0.0000,0,0.0000,1,1.7240,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0083,0.0000,0.0000,0,0.0000,1,1.7239,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0167,0.0000,0.0000,0,0.0000,1,1.7238,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0250,0.0000,0.0000,0,0.0000,1,1.7237,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0333,0.0000,0.0000,0,0.0000,1,1.7236,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0417,0.0000,0.0000,0,0.0000,1,1.7235,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0500,0.0000,0.0000,0,0.0000,1,1.7234,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0583,0.0000,0.0000,0,0.0000,1,1.7233,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0667,0.0000,0.0000,0,0.0000,1,1.7233,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0750,0.0000,0.0000,0,0.0000,1,1.7232,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0833,0.0000,0.0000,0,0.0000,1,1.7231,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.0917,0.0000,0.0000,0,0.0000,1,1.7230,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1000,0.0000,0.0000,0,0.0000,1,1.7229,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1083,0.0000,0.0000,0,0.0000,1,1.7228,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1167,0.0000,0.0000,0,0.0000,1,1.7227,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1250,0.0000,0.0000,0,0.0000,1,1.7226,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1333,0.0000,0.0000,0,0.0000,1,1.7225,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1417,0.0000,0.0000,0,0.0000,1,1.7224,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1500,0.0000,0.0000,0,0.0000,1,1.7223,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1583,0.0000,0.0000,0,0.0000,1,1.7222,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1667,0.0000,0.0000,0,0.0000,1,1.7221,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1750,0.0000,0.0000,0,0.0000,1,1.7221,-0.2905,9.0733,0.0000,cornfield_crossing,-1
1.1833,0.0000,0.0000,0,0.0000,1,1.7220,-0.2905,9.0733,0.0000,cornfield_crossing,-1
