# Race Metadata
# Track: snowtuxpeak
# Mode: STANDARD
# Laps: 3
# Difficulty: 1
# Number of Karts: 4
# Kart: hexley
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
1.0000,0.0000,0.0000,0,0.0000,1,-196.3136,0.2357,26.8912,0.0000,snowtuxpeak,-1
1.0083,0.0000,0.0000,0,0.0000,1,-196.3136,0.2357,26.8912,0.0000,snowtuxpeak,-1
1.0167,0.0000,0.0000,0,0.0000,1,-196.3136,0.2357,26.8912,0.0000,snowtuxpeak,-1
1.0250,0.0000,0.0000,0,0.0000,1,-196.3136,0.2357,26.8912,0.0000,snowtuxpeak,-1
1.0333,0.0000,0.0000,0,0.0000,1,-196.3136,0.2357,26.8912,0.0000,snowtuxpeak,-1
1.0417,0.0000,1.0000,0,0.0000,1,-196.3136,0.2357,26.8912,0.0000,snowtuxpeak,-1
1.0500,0.0000,1.0000,0,0.0000,1,-196.3136,0.2357,26.8912,0.0000,snowtuxpeak,-1
1.0583,0.0000,1.0000,0,0.2918,1,-196.3137,0.2357,26.8924,0.0000,snowtuxpeak,-1
1.0667,0.0000,1.0000,0,0.4268,1,-196.3138,0.2357,26.8947,0.0000,snowtuxpeak,-1
1.0750,0.0000,1.0000,0,0.5645,1,-196.3140,0.2356,26.8982,0.0000,snowtuxpeak,-1
1.0833,0.0000,1.0000,0,0.7032,1,-196.3143,0.2355,26.9028,0.0000,snowtuxpeak,-1
1.0917,0.0000,1.0000,0,0.8424,1,-196.3146,0.2354,26.9087,0.0000,snowtuxpeak,-1
1.1000,0.0000,1.0000,0,0.9817,1,-196.3150,0.2352,26.9156,0.0000,snowtuxpeak,-1
1.1083,0.0000,1.0000,0,1.1212,1,-196.3155,0.2350,26.9238,0.0000,snowtuxpeak,-1
1.1167,0.0000,1.0000,0,1.2607,1,-196.3160,0.2347,26.9331,0.0000,snowtuxpeak,-1
1.1250,0.0000,1.0000,0,1.4002,1,-196.3166,0.2344,26.9435,0.0000,snowtuxpeak,-1
1.1333,0.0000,1.0000,0,1.5396,1,-196.3172,0.2341,26.9552,0.0000,snowtuxpeak,-1
1.1417,0.0000,1.0000,0,1.6789,1,-196.3179,0.2338,26.9679,0.0000,snowtuxpeak,-1
1.1500,0.0000,1.0000,0,1.8182,1,-196.3187,0.2335,26.9819,0.0000,snowtuxpeak,-1
1.1583,0.0000,1.0000,0,1.9574,1,-196.3196,0.2332,26.9970,0.0000,snowtuxpeak,-1
1.1667,0.0000,1.0000,0,2.0714,1,-196.3205,0.2329,27.0132,0.0000,snowtuxpeak,-1
1.1750,0.0000,1.0000,0,2.1854,1,-196.3215,0.2326,27.0304,0.0000,snowtuxpeak,-1
1.1833,0.0000,1.0000,0,2.2993,1,-196.3225,0.2322,27.0486,0.0000,snowtuxpeak,-1
1.1917,0.0000,1.0000,0,2.4131,1,-196.3236,0.2319,27.0677,0.0000,snowtuxpeak,-1
1.2000,0.0000,1.0000,0,2.5268,1,-196.3247,0.2316,27.0877,0.0000,snowtuxpeak,-1
1.2083,0.0000,1.0000,0,2.6404,1,-196.3259,0.2312,27.1087,0.0000,snowtuxpeak,-1
1.2167,0.0000,1.0000,0,2.7538,1,-196.3271,0.2309,27.1306,0.0000,snowtuxpeak,-1
1.2250,0.0000,1.0000,0,2.8672,1,-196.3284,0.2306,27.1535,0.0000,snowtuxpeak,-1
1.2333,0.0000,1.0000,0,2.9805,1,-196.3298,0.2303,27.1773,0.0000,snowtuxpeak,-1
1.2417,0.0000,1.0000,0,3.0936,1,-196.3312,0.2300,27.2020,0.0000,snowtuxpeak,-1
1.2500,0.0000,1.0000,0,3.2066,1,-196.3326,0.2297,27.2277,0.0000,snowtuxpeak,-1
1.2583,0.0000,1.0000,0,3.3195,1,-196.3341,0.2294,27.2543,0.0000,snowtuxpeak,-1
1.2667,0.0000,1.0000,0,3.4323,1,-196.3357,0.2291,27.2819,0.0000,snowtuxpeak,-1
1.2750,0.0000,1.0000,0,3.5450,1,-196.3373,0.2288,27.3104,0.0000,snowtuxpeak,-1
1.2833,0.0000,1.0000,0,3.6575,1,-196.3389,0.2285,27.3399,0.0000,snowtuxpeak,-1
1.2917,0.0000,1.0000,0,3.7700,1,-196.3407,0.2282,27.3702,0.0000,snowtuxpeak,-1
1.3000,0.0000,1.0000,0,3.8822,1,-196.3424,0.2279,27.4015,0.0000,snowtuxpeak,-1
1.3083,0.0000,1.0000,0,3.9944,1,-196.3442,0.2277,27.4338,0.0000,snowtuxpeak,-1
1.3167,0.0000,1.0000,0,4.1064,1,-196.3461,0.2274,27.4669,0.0000,snowtuxpeak,-1
1.3250,0.0000,1.0000,0,4.2183,1,-196.3480,0.2271,27.5010,0.0000,snowtuxpeak,-1
1.3333,0.0000,1.0000,0,4.3301,1,-196.3500,0.2268,27.5361,0.0000,snowtuxpeak,-1
1.3417,0.0000,1.0000,0,4.4417,1,-196.3521,0.2265,27.5720,0.0000,snowtuxpeak,-1
1.3500,0.0000,1.0000,0,4.5532,1,-196.3541,0.2262,27.6089,0.0000,snowtuxpeak,-1
1.3583,0.0000,1.0000,0,4.6646,1,-196.3563,0.2259,27.6467,0.0000,snowtuxpeak,-1
1.3667,0.0000,1.0000,0,4.7758,1,-196.3584,0.2256,27.6855,0.0000,snowtuxpeak,-1
1.3750,0.0000,1.0000,0,4.8668,1,-196.3607,0.2253,27.7251,0.0000,snowtuxpeak,-1
1.3833,0.0000,1.0000,0,4.9578,1,-196.3630,0.2251,27.7655,0.0000,snowtuxpeak,-1
1.3917,0.0000,1.0000,0,5.0486,1,-196.3653,0.2248,27.8067,0.0000,snowtuxpeak,-1
1.4000,0.0000,1.0000,0,5.1393,1,-196.3676,0.2245,27.8486,0.0000,snowtuxpeak,-1
1.4083,0.0000,1.0000,0,5.2299,1,-196.3701,0.2242,27.8913,0.0000,snowtuxpeak,-1
1.4167,0.0000,1.0000,0,5.3203,1,-196.3725,0.2240,27.9347,0.0000,snowtuxpeak,-1
1.4250,0.0000,1.0000,0,5.4107,1,-196.3750,0.2237,27.9789,0.0000,snowtuxpeak,-1
1.4333,0.0000,1.0000,0,5.5009,1,-196.3775,0.2235,28.0239,0.0000,snowtuxpeak,-1
1.4417,0.0000,1.0000,0,5.5910,1,-196.3801,0.2232,28.0695,0.0000,snowtuxpeak,-1
1.4500,0.0000,1.0000,0,5.6809,1,-196.3827,0.2230,28.1160,0.0000,snowtuxpeak,-1
1.4583,0.0000,1.0000,0,5.7707,1,-196.3854,0.2227,28.1631,0.0000,snowtuxpeak,-1
1.4667,0.0000,1.0000,0,5.8604,1,-196.3881,0.2225,28.2111,0.0000,snowtuxpeak,-1
1.4750,0.0000,1.0000,0,5.9500,1,-196.3908,0.2222,28.2597,0.0000,snowtuxpeak,-1
1.4833,0.0000,1.0000,0,6.0395,1,-196.3936,0.2220,28.3091,0.0000,snowtuxpeak,-1
1.4917,0.0000,1.0000,0,6.1288,1,-196.3965,0.2218,28.3593,0.0000,snowtuxpeak,-1
1.5000,0.0000,1.0000,0,6.2180,1,-196.3993,0.2215,28.4102,0.0000,snowtuxpeak,-1
1.5083,0.0000,1.0000,0,6.3070,1,-196.4022,0.2213,28.4618,0.0000,snowtuxpeak,-1
1.5167,0.0000,1.0000,0,6.3960,1,-196.4052,0.2211,28.5142,0.0000,snowtuxpeak,-1
1.5250,0.0000,1.0000,0,6.4848,1,-196.4082,0.2209,28.5673,0.0000,snowtuxpeak,-1
1.5333,0.0000,1.0000,0,6.5734,1,-196.4112,0.2206,28.6212,0.0000,snowtuxpeak,-1
1.5417,0.0000,1.0000,0,6.6620,1,-196.4143,0.2204,28.6758,0.0000,snowtuxpeak,-1
1.5500,0.0000,1.0000,0,6.7504,1,-196.4174,0.2202,28.7311,0.0000,snowtuxpeak,-1
1.5583,0.0000,1.0000,0,6.8386,1,-196.4206,0.2199,28.7871,0.0000,snowtuxpeak,-1
1.5667,0.0000,1.0000,0,6.9267,1,-196.4238,0.2197,28.8439,0.0000,snowtuxpeak,-1
1.5750,0.0000,1.0000,0,7.0147,1,-196.4270,0.2195,28.9014,0.0000,snowtuxpeak,-1
1.5833,0.0000,1.0000,0,7.1026,1,-196.4303,0.2193,28.9597,0.0000,snowtuxpeak,-1
1.5917,0.0000,1.0000,0,7.1903,1,-196.4337,0.2190,29.0187,0.0000,snowtuxpeak,-1
