# Race Metadata
# Track: ravenbridge_mansion
# Mode: STANDARD
# Laps: 3
# Difficulty: 1
# Number of Karts: 4
# Kart: hexley
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
1.0000,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0083,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0167,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0250,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0333,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0417,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0500,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0583,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0667,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0750,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0833,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.0917,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.1000,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.1083,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.1167,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.1250,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.1333,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.1417,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.1500,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
1.1583,0.0000,0.0000,0,0.0000,1,-2.0169,-1.6173,-62.6911,0.0000,ravenbridge_mansion,-1
