# Race Metadata
# Track: sandtrack
# Mode: STANDARD
# Laps: 3
# Difficulty: 1
# Number of Karts: 4
# Kart: hexley
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,-1.2608,-140.5500,3.0610,0.0000,sandtrack,-1
0.0083,0.0000,0.0000,0,0.0000,1,-1.2608,-140.5502,3.0609,0.0000,sandtrack,-1
0.0167,0.0000,0.0000,0,0.0000,1,-1.2607,-140.5503,3.0609,0.0000,sandtrack,-1
0.0250,0.0000,0.0000,0,0.0000,1,-1.2606,-140.5503,3.0608,0.0000,sandtrack,-1
0.0333,0.0000,0.0000,0,0.0000,1,-1.2604,-140.5502,3.0608,0.0000,sandtrack,-1
0.0417,0.0000,0.0000,0,0.0000,1,-1.2603,-140.5502,3.0607,0.0000,sandtrack,-1
0.0500,0.0000,0.0000,0,0.0000,1,-1.2602,-140.5501,3.0606,0.0000,sandtrack,-1
0.0583,0.0000,0.0000,0,0.0000,1,-1.2600,-140.5501,3.0606,0.0000,sandtrack,-1
0.0667,0.0000,0.0000,0,0.0000,1,-1.2599,-140.5500,3.0605,0.0000,sandtrack,-1
0.0750,0.0000,0.0000,0,0.0000,1,-1.2597,-140.5500,3.0604,0.0000,sandtrack,-1
0.0833,0.0000,0.0000,0,0.0000,1,-1.2596,-140.5500,3.0604,0.0000,sandtrack,-1
0.0917,0.0000,0.0000,0,0.0000,1,-1.2594,-140.5499,3.0603,0.0000,sandtrack,-1
0.1000,0.0000,0.0000,0,0.0000,1,-1.2593,-140.5499,3.0602,0.0000,sandtrack,-1
0.1083,0.0000,0.0000,0,0.0000,1,-1.2591,-140.5499,3.0602,0.0000,sandtrack,-1
0.1167,0.0000,0.0000,0,0.0000,1,-1.2590,-140.5498,3.0601,0.0000,sandtrack,-1
0.1250,0.0000,0.0000,0,0.0000,1,-1.2589,-140.5498,3.0600,0.0000,sandtrack,-1
0.1333,0.0000,0.0000,0,0.0000,1,-1.2587,-140.5498,3.0600,0.0000,sandtrack,-1
0.1417,0.0000,0.0000,0,0.0000,1,-1.2586,-140.5498,3.0599,0.0000,sandtrack,-1
0.1500,0.0000,0.0000,0,0.0000,1,-1.2584,-140.5498,3.0598,0.0000,sandtrack,-1
0.1583,0.0000,0.0000,0,0.0000,1,-1.2583,-140.5498,3.0597,0.0000,sandtrack,-1
0.1667,0.0000,0.0000,0,0.0000,1,-1.2581,-140.5497,3.0597,0.0000,sandtrack,-1
0.1750,0.0000,0.0000,0,0.0000,1,-1.2580,-140.5497,3.0596,0.0000,sandtrack,-1
0.1833,0.0000,0.0000,0,0.0000,1,-1.2578,-140.5497,3.0595,0.0000,sandtrack,-1
0.1917,0.0000,0.0000,0,0.0000,1,-1.2577,-140.5497,3.0595,0.0000,sandtrack,-1
0.2000,0.0000,0.0000,0,0.0000,1,-1.2576,-140.5497,3.0594,0.0000,sandtrack,-1
0.2083,0.0000,0.0000,0,0.0000,1,-1.2574,-140.5497,3.0593,0.0000,sandtrack,-1
0.2167,0.0000,0.0000,0,0.0000,1,-1.2573,-140.5497,3.0593,0.0000,sandtrack,-1
0.2250,0.0000,0.0000,0,0.0000,1,-1.2571,-140.5497,3.0592,0.0000,sandtrack,-1
0.2333,0.0000,0.0000,0,0.0000,1,-1.2570,-140.5497,3.0591,0.0000,sandtrack,-1
0.2417,0.0000,0.0000,0,0.0000,1,-1.2568,-140.5497,3.0590,0.0000,sandtrack,-1
