# Race Metadata
# Track: hacienda
# Mode: STANDARD
# Laps: 3
# Difficulty: 1
# Number of Karts: 4
# Kart: hexley
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
1.0000,0.0000,0.0000,0,0.0000,1,0.7292,-0.7039,-6.7564,0.0000,hacienda,-1
1.0083,0.0000,0.0000,0,0.0000,1,0.7291,-0.7039,-6.7564,0.0000,hacienda,-1
1.0167,0.0000,0.0000,0,0.0000,1,0.7291,-0.7039,-6.7564,0.0000,hacienda,-1
1.0250,0.0000,0.0000,0,0.0000,1,0.7291,-0.7039,-6.7564,0.0000,hacienda,-1
1.0333,0.0000,0.0000,0,0.0000,1,0.7291,-0.7039,-6.7564,0.0000,hacienda,-1
1.0417,0.0000,0.0000,0,0.0000,1,0.7290,-0.7039,-6.7564,0.0000,hacienda,-1
1.0500,0.0000,0.0000,0,0.0000,1,0.7290,-0.7039,-6.7564,0.0000,hacienda,-1
1.0583,0.0000,0.0000,0,0.0000,1,0.7290,-0.7039,-6.7564,0.0000,hacienda,-1
1.0667,0.0000,0.0000,0,0.0000,1,0.7289,-0.7039,-6.7564,0.0000,hacienda,-1
1.0750,0.0000,0.0000,0,0.0000,1,0.7289,-0.7039,-6.7564,0.0000,hacienda,-1
1.0833,0.0000,0.0000,0,0.0000,1,0.7289,-0.7039,-6.7564,0.0000,hacienda,-1
1.0917,0.0000,0.0000,0,0.0000,1,0.7289,-0.7039,-6.7564,0.0000,hacienda,-1
1.1000,0.0000,0.0000,0,0.0000,1,0.7288,-0.7039,-6.7564,0.0000,hacienda,-1
1.1083,0.0000,0.0000,0,0.0000,1,0.7288,-0.7039,-6.7564,0.0000,hacienda,-1
1.1167,0.0000,0.0000,0,0.0000,1,0.7288,-0.7039,-6.7564,0.0000,hacienda,-1
1.1250,0.0000,0.0000,0,0.0000,1,0.7288,-0.7039,-6.7564,0.0000,hacienda,-1
1.1333,0.0000,0.0000,0,0.0000,1,0.7287,-0.7039,-6.7564,0.0000,hacienda,-1
1.1417,0.0000,0.0000,0,0.0000,1,0.7287,-0.7039,-6.7564,0.0000,hacienda,-1
1.1500,0.0000,0.0000,0,0.0000,1,0.7287,-0.7039,-6.7564,0.0000,hacienda,-1
1.1583,0.0000,0.0000,0,0.0000,1,0.7286,-0.7039,-6.7564,0.0000,hacienda,-1
1.1667,0.0000,0.0000,0,0.0000,1,0.7286,-0.7039,-6.7564,0.0000,hacienda,-1
1.1750,0.0000,0.0000,0,0.0000,1,0.7286,-0.7039,-6.7564,0.0000,hacienda,-1
1.1833,0.0000,0.0000,0,0.0000,1,0.7286,-0.7039,-6.7564,0.0000,hacienda,-1
1.1917,0.0000,0.0000,0,0.0000,1,0.7285,-0.7039,-6.7564,0.0000,hacienda,-1
1.2000,0.0000,0.0000,0,0.0000,1,0.7285,-0.7039,-6.7564,0.0000,hacienda,-1
1.2083,0.0000,0.0000,0,0.0000,1,0.7285,-0.7039,-6.7564,0.0000,hacienda,-1
1.2167,0.0000,0.0000,0,0.0000,1,0.7285,-0.7039,-6.7564,0.0000,hacienda,-1
1.2250,0.0000,0.0000,0,0.0000,1,0.7284,-0.7039,-6.7564,0.0000,hacienda,-1
1.2333,0.0000,0.0000,0,0.0000,1,0.7284,-0.7039,-6.7564,0.0000,hacienda,-1
1.2417,0.0000,0.0000,0,0.0000,1,0.7284,-0.7039,-6.7564,0.0000,hacienda,-1
1.2500,0.0000,0.0000,0,0.0000,1,0.7283,-0.7039,-6.7564,0.0000,hacienda,-1
1.2583,0.0000,0.0000,0,0.0000,1,0.7283,-0.7039,-6.7564,0.0000,hacienda,-1
1.2667,0.0000,0.0000,0,0.0000,1,0.7283,-0.7039,-6.7564,0.0000,hacienda,-1
1.2750,0.0000,0.0000,0,0.0000,1,0.7283,-0.7039,-6.7564,0.0000,hacienda,-1
1.2833,0.0000,0.0000,0,0.0000,1,0.7282,-0.7039,-6.7564,0.0000,hacienda,-1
1.2917,0.0000,0.0000,0,0.0000,1,0.7282,-0.7039,-6.7564,0.0000,hacienda,-1
1.3000,0.0000,0.0000,0,0.0000,1,0.7282,-0.7039,-6.7564,0.0000,hacienda,-1
1.3083,0.0000,0.0000,0,0.0000,1,0.7282,-0.7039,-6.7564,0.0000,hacienda,-1
1.3167,0.0000,0.0000,0,0.0000,1,0.7281,-0.7039,-6.7564,0.0000,hacienda,-1
1.3250,0.0000,0.0000,0,0.0000,1,0.7281,-0.7039,-6.7564,0.0000,hacienda,-1
1.3333,0.0000,0.0000,0,0.0000,1,0.7281,-0.7039,-6.7564,0.0000,hacienda,-1
1.3417,0.0000,0.0000,0,0.0000,1,0.7280,-0.7039,-6.7564,0.0000,hacienda,-1
1.3500,0.0000,0.0000,0,0.0000,1,0.7280,-0.7039,-6.7564,0.0000,hacienda,-1
1.3583,0.0000,0.0000,0,0.0000,1,0.7280,-0.7039,-6.7564,0.0000,hacienda,-1
1.3667,0.0000,0.0000,0,0.0000,1,0.7280,-0.7039,-6.7564,0.0000,hacienda,-1
1.3750,0.0000,0.0000,0,0.0000,1,0.7279,-0.7039,-6.7564,0.0000,hacienda,-1
1.3833,0.0000,0.0000,0,0.0000,1,0.7279,-0.7039,-6.7564,0.0000,hacienda,-1
1.3917,0.0000,0.0000,0,0.0000,1,0.7279,-0.7039,-6.7564,0.0000,hacienda,-1
1.4000,0.0000,0.0000,0,0.0000,1,0.7279,-0.7039,-6.7564,0.0000,hacienda,-1
1.4083,0.0000,0.0000,0,0.0000,1,0.7278,-0.7039,-6.7564,0.0000,hacienda,-1
1.4167,0.0000,0.0000,0,0.0000,1,0.7278,-0.7039,-6.7564,0.0000,hacienda,-1
1.4250,0.0000,0.0000,0,0.0000,1,0.7278,-0.7039,-6.7564,0.0000,hacienda,-1
1.4333,0.0000,0.0000,0,0.0000,1,0.7278,-0.7039,-6.7564,0.0000,hacienda,-1
1.4417,0.0000,0.0000,0,0.0000,1,0.7277,-0.7039,-6.7564,0.0000,hacienda,-1
