# Race Metadata
# Track: volcano_island
# Mode: STANDARD
# Laps: 2
# Difficulty: 2
# Number of Karts: 4
# Kart: konqi
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,-23.8541,13.2703,-135.6808,0.0000,volcano_island,-1
0.0083,0.0000,0.0000,0,0.0000,1,-23.8541,13.2700,-135.6808,0.0000,volcano_island,-1
0.0167,0.0000,0.0000,0,0.0000,1,-23.8541,13.2699,-135.6808,0.0000,volcano_island,-1
0.0250,0.0000,0.0000,0,0.0000,1,-23.8541,13.2700,-135.6808,0.0000,volcano_island,-1
0.0333,0.0000,0.0000,0,0.0000,1,-23.8541,13.2700,-135.6808,0.0000,volcano_island,-1
0.0417,0.0000,0.0000,0,0.0000,1,-23.8541,13.2701,-135.6808,0.0000,volcano_island,-1
0.0500,0.0000,0.0000,0,0.0000,1,-23.8541,13.2702,-135.6808,0.0000,volcano_island,-1
0.0583,0.0000,0.0000,0,0.0000,1,-23.8541,13.2702,-135.6808,0.0000,volcano_island,-1
0.0667,0.0000,0.0000,0,0.0000,1,-23.8541,13.2703,-135.6808,0.0000,volcano_island,-1
0.0750,0.0000,0.0000,0,0.0000,1,-23.8541,13.2703,-135.6808,0.0000,volcano_island,-1
0.0833,0.0000,0.0000,0,0.0000,1,-23.8541,13.2703,-135.6808,0.0000,volcano_island,-1
0.0917,0.0000,0.0000,0,0.0000,1,-23.8541,13.2704,-135.6808,0.0000,volcano_island,-1
0.1000,0.0000,0.0000,0,0.0000,1,-23.8541,13.2704,-135.6808,0.0000,volcano_island,-1
0.1083,0.0000,0.0000,0,0.0000,1,-23.8541,13.2705,-135.6808,0.0000,volcano_island,-1
0.1167,0.0000,0.0000,0,0.0000,1,-23.8541,13.2705,-135.6808,0.0000,volcano_island,-1
0.1250,0.0000,0.0000,0,0.0000,1,-23.8541,13.2705,-135.6808,0.0000,volcano_island,-1
0.1333,0.0000,0.0000,0,0.0000,1,-23.8541,13.2705,-135.6808,0.0000,volcano_island,-1
0.1417,0.0000,0.0000,0,0.0000,1,-23.8541,13.2706,-135.6808,0.0000,volcano_island,-1
0.1500,0.0000,0.0000,0,0.0000,1,-23.8541,13.2706,-135.6808,0.0000,volcano_island,-1
0.1583,0.0000,0.0000,0,0.0000,1,-23.8541,13.2706,-135.6808,0.0000,volcano_island,-1
0.1667,0.0000,0.0000,0,0.0000,1,-23.8541,13.2706,-135.6808,0.0000,volcano_island,-1
0.1750,0.0000,0.0000,0,0.0000,1,-23.8541,13.2707,-135.6808,0.0000,volcano_island,-1
0.1833,0.0000,0.0000,0,0.0000,1,-23.8541,13.2707,-135.6808,0.0000,volcano_island,-1
0.1917,0.0000,0.0000,0,0.0000,1,-23.8541,13.2707,-135.6808,0.0000,volcano_island,-1
0.2000,0.0000,0.0000,0,0.0000,1,-23.8541,13.2707,-135.6808,0.0000,volcano_island,-1
0.2083,0.0000,0.0000,0,0.0000,1,-23.8541,13.2707,-135.6808,0.0000,volcano_island,-1
0.2167,0.0000,0.0000,0,0.0000,1,-23.8541,13.2707,-135.6808,0.0000,volcano_island,-1
0.2250,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.2333,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.2417,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.2500,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.2583,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.2667,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.2750,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.2833,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.2917,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.3000,0.0000,0.0000,0,0.0000,1,-23.8541,13.2708,-135.6808,0.0000,volcano_island,-1
0.3083,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3167,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3250,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3333,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3417,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3500,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3583,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3667,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3750,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3833,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.3917,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4000,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4083,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4167,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4250,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4333,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4417,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4500,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4583,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4667,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4750,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4833,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.4917,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5000,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5083,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5167,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5250,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5333,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5417,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5500,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5583,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5667,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5750,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5833,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.5917,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.6000,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.6083,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.6167,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.6250,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.6333,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
0.6417,0.0000,0.0000,0,0.0000,1,-23.8541,13.2709,-135.6808,0.0000,volcano_island,-1
