# Race Metadata
# Track: scotland
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: konqi
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,-4.0066,0.6429,-5.6262,0.0000,scotland,-1
0.0083,0.0000,0.0000,0,0.0000,1,-4.0066,0.6427,-5.6262,0.0000,scotland,-1
0.0167,0.0000,0.0000,0,0.0000,1,-4.0066,0.6426,-5.6262,0.0000,scotland,-1
0.0250,0.0000,0.0000,0,0.0000,1,-4.0066,0.6426,-5.6262,0.0000,scotland,-1
0.0333,0.0000,0.0000,0,0.0000,1,-4.0066,0.6427,-5.6262,0.0000,scotland,-1
0.0417,0.0000,0.0000,0,0.0000,1,-4.0066,0.6428,-5.6262,0.0000,scotland,-1
0.0500,0.0000,0.0000,0,0.0000,1,-4.0066,0.6428,-5.6262,0.0000,scotland,-1
0.0583,0.0000,0.0000,0,0.0000,1,-4.0066,0.6429,-5.6262,0.0000,scotland,-1
0.0667,0.0000,1.0000,0,0.0000,1,-4.0066,0.6429,-5.6262,0.0000,scotland,-1
0.0750,0.0000,1.0000,0,0.0000,1,-4.0066,0.6430,-5.6262,0.0000,scotland,-1
0.0833,0.0000,1.0000,0,0.2484,1,-4.0067,0.6430,-5.6252,0.0000,scotland,-1
0.0917,0.0000,1.0000,0,0.3588,1,-4.0069,0.6430,-5.6233,0.0000,scotland,-1
0.1000,0.0000,1.0000,0,0.4727,1,-4.0072,0.6430,-5.6204,0.0000,scotland,-1
0.1083,0.0000,1.0000,0,0.5874,1,-4.0076,0.6430,-5.6165,0.0000,scotland,-1
0.1167,0.0000,1.0000,0,0.7026,1,-4.0080,0.6430,-5.6117,0.0000,scotland,-1
0.1250,0.0000,1.0000,0,0.8182,1,-4.0086,0.6429,-5.6059,0.0000,scotland,-1
0.1333,0.0000,1.0000,0,0.9339,1,-4.0093,0.6428,-5.5992,0.0000,scotland,-1
0.1417,0.0000,1.0000,0,1.0497,1,-4.0100,0.6427,-5.5915,0.0000,scotland,-1
0.1500,0.0000,1.0000,0,1.1656,1,-4.0109,0.6426,-5.5828,0.0000,scotland,-1
0.1583,0.0000,1.0000,0,1.2815,1,-4.0118,0.6424,-5.5731,0.0000,scotland,-1
0.1667,0.0000,1.0000,0,1.3974,1,-4.0129,0.6423,-5.5625,0.0000,scotland,-1
0.1750,0.0000,1.0000,0,1.5133,1,-4.0140,0.6421,-5.5510,0.0000,scotland,-1
0.1833,0.0000,1.0000,0,1.6291,1,-4.0153,0.6419,-5.5385,0.0000,scotland,-1
0.1917,0.0000,1.0000,0,1.7449,1,-4.0166,0.6417,-5.5250,0.0000,scotland,-1
0.2000,0.0000,1.0000,0,1.8607,1,-4.0180,0.6415,-5.5106,0.0000,scotland,-1
0.2083,0.0000,1.0000,0,1.9764,1,-4.0195,0.6413,-5.4952,0.0000,scotland,-1
0.2167,0.0000,1.0000,0,2.0920,1,-4.0211,0.6410,-5.4788,0.0000,scotland,-1
0.2250,0.0000,1.0000,0,2.2076,1,-4.0228,0.6408,-5.4615,0.0000,scotland,-1
0.2333,0.0000,1.0000,0,2.3231,1,-4.0246,0.6406,-5.4432,0.0000,scotland,-1
0.2417,0.0000,1.0000,0,2.4191,1,-4.0265,0.6404,-5.4240,0.0000,scotland,-1
