# Race Metadata
# Track: hacienda
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: konqi
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,0.7327,-0.7045,-6.7562,0.0000,hacienda,-1
0.0083,0.0000,0.0000,0,0.0000,1,0.7327,-0.7048,-6.7562,0.0000,hacienda,-1
0.0167,0.0000,0.0000,0,0.0000,1,0.7327,-0.7049,-6.7562,0.0000,hacienda,-1
0.0250,0.0000,0.0000,0,0.0000,1,0.7327,-0.7048,-6.7562,0.0000,hacienda,-1
0.0333,0.0000,0.0000,0,0.0000,1,0.7327,-0.7048,-6.7562,0.0000,hacienda,-1
0.0417,0.0000,0.0000,0,0.0000,1,0.7326,-0.7047,-6.7562,0.0000,hacienda,-1
0.0500,0.0000,0.0000,0,0.0000,1,0.7326,-0.7047,-6.7562,0.0000,hacienda,-1
0.0583,0.0000,0.0000,0,0.0000,1,0.7326,-0.7046,-6.7562,0.0000,hacienda,-1
0.0667,0.0000,0.0000,0,0.0000,1,0.7326,-0.7046,-6.7562,0.0000,hacienda,-1
0.0750,0.0000,0.0000,0,0.0000,1,0.7325,-0.7045,-6.7562,0.0000,hacienda,-1
0.0833,0.0000,0.0000,0,0.0000,1,0.7325,-0.7045,-6.7562,0.0000,hacienda,-1
0.0917,0.0000,0.0000,0,0.0000,1,0.7325,-0.7044,-6.7562,0.0000,hacienda,-1
0.1000,0.0000,0.0000,0,0.0000,1,0.7325,-0.7044,-6.7562,0.0000,hacienda,-1
0.1083,0.0000,0.0000,0,0.0000,1,0.7324,-0.7044,-6.7562,0.0000,hacienda,-1
0.1167,0.0000,0.0000,0,0.0000,1,0.7324,-0.7043,-6.7562,0.0000,hacienda,-1
0.1250,0.0000,0.0000,0,0.0000,1,0.7324,-0.7043,-6.7562,0.0000,hacienda,-1
0.1333,0.0000,0.0000,0,0.0000,1,0.7324,-0.7043,-6.7562,0.0000,hacienda,-1
0.1417,0.0000,0.0000,0,0.0000,1,0.7323,-0.7042,-6.7562,0.0000,hacienda,-1
0.1500,0.0000,0.0000,0,0.0000,1,0.7323,-0.7042,-6.7562,0.0000,hacienda,-1
0.1583,0.0000,0.0000,0,0.0000,1,0.7323,-0.7042,-6.7562,0.0000,hacienda,-1
0.1667,0.0000,0.0000,0,0.0000,1,0.7323,-0.7042,-6.7562,0.0000,hacienda,-1
0.1750,0.0000,0.0000,0,0.0000,1,0.7322,-0.7041,-6.7562,0.0000,hacienda,-1
0.1833,0.0000,0.0000,0,0.0000,1,0.7322,-0.7041,-6.7562,0.0000,hacienda,-1
0.1917,0.0000,0.0000,0,0.0000,1,0.7322,-0.7041,-6.7562,0.0000,hacienda,-1
0.2000,0.0000,0.0000,0,0.0000,1,0.7322,-0.7041,-6.7562,0.0000,hacienda,-1
0.2083,0.0000,0.0000,0,0.0000,1,0.7321,-0.7041,-6.7562,0.0000,hacienda,-1
0.2167,0.0000,0.0000,0,0.0000,1,0.7321,-0.7041,-6.7562,0.0000,hacienda,-1
0.2250,0.0000,0.0000,0,0.0000,1,0.7321,-0.7041,-6.7562,0.0000,hacienda,-1
0.2333,0.0000,0.0000,0,0.0000,1,0.7321,-0.7040,-6.7562,0.0000,hacienda,-1
0.2417,0.0000,0.0000,0,0.0000,1,0.7321,-0.7040,-6.7562,0.0000,hacienda,-1
0.2500,0.0000,0.0000,0,0.0000,1,0.7320,-0.7040,-6.7562,0.0000,hacienda,-1
0.2583,0.0000,0.0000,0,0.0000,1,0.7320,-0.7040,-6.7562,0.0000,hacienda,-1
0.2667,0.0000,0.0000,0,0.0000,1,0.7320,-0.7040,-6.7562,0.0000,hacienda,-1
0.2750,0.0000,0.0000,0,0.0000,1,0.7320,-0.7040,-6.7563,0.0000,hacienda,-1
0.2833,0.0000,0.0000,0,0.0000,1,0.7319,-0.7040,-6.7563,0.0000,hacienda,-1
0.2917,0.0000,0.0000,0,0.0000,1,0.7319,-0.7040,-6.7563,0.0000,hacienda,-1
0.3000,0.0000,0.0000,0,0.0000,1,0.7319,-0.7040,-6.7563,0.0000,hacienda,-1
0.3083,0.0000,0.0000,0,0.0000,1,0.7319,-0.7040,-6.7563,0.0000,hacienda,-1
0.3167,0.0000,0.0000,0,0.0000,1,0.7318,-0.7040,-6.7563,0.0000,hacienda,-1
0.3250,0.0000,0.0000,0,0.0000,1,0.7318,-0.7039,-6.7563,0.0000,hacienda,-1
0.3333,0.0000,0.0000,0,0.0000,1,0.7318,-0.7039,-6.7563,0.0000,hacienda,-1
0.3417,0.0000,0.0000,0,0.0000,1,0.7318,-0.7039,-6.7563,0.0000,hacienda,-1
0.3500,0.0000,1.0000,0,0.0000,1,0.7317,-0.7039,-6.7563,0.0000,hacienda,-1
0.3583,0.0000,1.0000,0,0.0000,1,0.7317,-0.7039,-6.7563,0.0000,hacienda,-1
0.3667,0.0000,1.0000,0,0.2467,1,0.7317,-0.7039,-6.7553,0.0000,hacienda,-1
0.3750,0.0000,1.0000,0,0.3576,1,0.7317,-0.7039,-6.7534,0.0000,hacienda,-1
0.3833,0.0000,1.0000,0,0.4713,1,0.7316,-0.7040,-6.7505,0.0000,hacienda,-1
0.3917,0.0000,1.0000,0,0.5861,1,0.7316,-0.7040,-6.7466,0.0000,hacienda,-1
0.4000,0.0000,1.0000,0,0.7015,1,0.7316,-0.7041,-6.7417,0.0000,hacienda,-1
0.4083,0.0000,1.0000,0,0.8171,1,0.7316,-0.7042,-6.7359,0.0000,hacienda,-1
0.4167,0.0000,1.0000,0,0.9329,1,0.7316,-0.7044,-6.7292,0.0000,hacienda,-1
0.4250,0.0000,1.0000,0,1.0488,1,0.7315,-0.7045,-6.7214,0.0000,hacienda,-1
0.4333,0.0000,1.0000,0,1.1647,1,0.7315,-0.7047,-6.7127,0.0000,hacienda,-1
0.4417,0.0000,1.0000,0,1.2806,1,0.7315,-0.7049,-6.7030,0.0000,hacienda,-1
0.4500,0.0000,1.0000,0,1.3965,1,0.7315,-0.7051,-6.6924,0.0000,hacienda,-1
0.4583,0.0000,1.0000,0,1.5124,1,0.7315,-0.7053,-6.6808,0.0000,hacienda,-1
0.4667,0.0000,1.0000,0,1.6282,1,0.7314,-0.7055,-6.6682,0.0000,hacienda,-1
0.4750,0.0000,1.0000,0,1.7440,1,0.7314,-0.7057,-6.6547,0.0000,hacienda,-1
0.4833,0.0000,1.0000,0,1.8597,1,0.7314,-0.7059,-6.6402,0.0000,hacienda,-1
0.4917,0.0000,1.0000,0,1.9754,1,0.7314,-0.7061,-6.6247,0.0000,hacienda,-1
0.5000,0.0000,1.0000,0,2.0910,1,0.7314,-0.7063,-6.6083,0.0000,hacienda,-1
0.5083,0.0000,1.0000,0,2.2065,1,0.7313,-0.7065,-6.5909,0.0000,hacienda,-1
0.5167,0.0000,1.0000,0,2.3220,1,0.7313,-0.7067,-6.5726,0.0000,hacienda,-1
0.5250,0.0000,1.0000,0,2.4179,1,0.7313,-0.7069,-6.5533,0.0000,hacienda,-1
0.5333,0.0000,1.0000,0,2.5138,1,0.7313,-0.7072,-6.5332,0.0000,hacienda,-1
0.5417,0.0000,1.0000,0,2.6097,1,0.7313,-0.7074,-6.5122,0.0000,hacienda,-1
0.5500,0.0000,1.0000,0,2.7054,1,0.7312,-0.7076,-6.4905,0.0000,hacienda,-1
0.5583,0.0000,1.0000,0,2.8011,1,0.7312,-0.7078,-6.4681,0.0000,hacienda,-1
0.5667,0.0000,1.0000,0,2.8967,1,0.7312,-0.7080,-6.4448,0.0000,hacienda,-1
0.5750,0.0000,1.0000,0,2.9923,1,0.7312,-0.7082,-6.4207,0.0000,hacienda,-1
0.5833,0.0000,1.0000,0,3.0877,1,0.7312,-0.7084,-6.3958,0.0000,hacienda,-1
0.5917,0.0000,1.0000,0,3.1831,1,0.7312,-0.7086,-6.3701,0.0000,hacienda,-1
0.6000,0.0000,1.0000,0,3.2785,1,0.7311,-0.7087,-6.3436,0.0000,hacienda,-1
0.6083,0.0000,1.0000,0,3.3737,1,0.7311,-0.7089,-6.3164,0.0000,hacienda,-1
0.6167,0.0000,1.0000,0,3.4688,1,0.7311,-0.7091,-6.2883,0.0000,hacienda,-1
0.6250,0.0000,1.0000,0,3.5639,1,0.7311,-0.7093,-6.2595,0.0000,hacienda,-1
0.6333,0.0000,1.0000,0,3.6589,1,0.7311,-0.7094,-6.2298,0.0000,hacienda,-1
0.6417,0.0000,1.0000,0,3.7538,1,0.7311,-0.7096,-6.1994,0.0000,hacienda,-1
0.6500,0.0000,1.0000,0,3.8486,1,0.7310,-0.7098,-6.1682,0.0000,hacienda,-1
0.6583,0.0000,1.0000,0,3.9434,1,0.7310,-0.7100,-6.1362,0.0000,hacienda,-1
0.6667,0.0000,1.0000,0,4.0380,1,0.7310,-0.7101,-6.1034,0.0000,hacienda,-1
0.6750,0.0000,1.0000,0,4.1326,1,0.7310,-0.7103,-6.0698,0.0000,hacienda,-1
0.6833,0.0000,1.0000,0,4.2271,1,0.7310,-0.7105,-6.0354,0.0000,hacienda,-1
0.6917,0.0000,1.0000,0,4.3215,1,0.7310,-0.7106,-6.0003,0.0000,hacienda,-1
0.7000,0.0000,1.0000,0,4.4158,1,0.7309,-0.7108,-5.9643,0.0000,hacienda,-1
0.7083,0.0000,1.0000,0,4.5100,1,0.7309,-0.7110,-5.9276,0.0000,hacienda,-1
0.7167,0.0000,1.0000,0,4.6041,1,0.7309,-0.7111,-5.8901,0.0000,hacienda,-1
0.7250,0.0000,1.0000,0,4.6981,1,0.7309,-0.7113,-5.8518,0.0000,hacienda,-1
0.7333,0.0000,1.0000,0,4.7920,1,0.7309,-0.7114,-5.8127,0.0000,hacienda,-1
0.7417,0.0000,1.0000,0,4.8859,1,0.7309,-0.7116,-5.7729,0.0000,hacienda,-1
0.7500,0.0000,1.0000,0,4.9796,1,0.7308,-0.7118,-5.7322,0.0000,hacienda,-1
0.7583,0.0000,1.0000,0,5.0732,1,0.7308,-0.7119,-5.6908,0.0000,hacienda,-1
0.7667,0.0000,1.0000,0,5.1668,1,0.7308,-0.7121,-5.6486,0.0000,hacienda,-1
0.7750,0.0000,1.0000,0,5.2602,1,0.7308,-0.7122,-5.6056,0.0000,hacienda,-1
0.7833,0.0000,1.0000,0,5.3536,1,0.7308,-0.7124,-5.5619,0.0000,hacienda,-1
0.7917,0.0000,1.0000,0,5.4468,1,0.7308,-0.7125,-5.5174,0.0000,hacienda,-1
0.8000,0.0000,1.0000,0,5.5400,1,0.7308,-0.7127,-5.4721,0.0000,hacienda,-1
0.8083,0.0000,1.0000,0,5.6330,1,0.7307,-0.7129,-5.4260,0.0000,hacienda,-1
0.8167,0.0000,1.0000,0,5.7260,1,0.7307,-0.7130,-5.3791,0.0000,hacienda,-1
0.8250,0.0000,1.0000,0,5.8188,1,0.7307,-0.7132,-5.3315,0.0000,hacienda,-1
0.8333,0.0000,1.0000,0,5.8970,1,0.7307,-0.7133,-5.2831,0.0000,hacienda,-1
0.8417,0.0000,1.0000,0,5.9751,1,0.7307,-0.7135,-5.2341,0.0000,hacienda,-1
0.8500,0.0000,1.0000,0,6.0531,1,0.7307,-0.7136,-5.1844,0.0000,hacienda,-1
0.8583,0.0000,1.0000,0,6.1310,1,0.7307,-0.7137,-5.1340,0.0000,hacienda,-1
0.8667,0.0000,1.0000,0,6.2089,1,0.7306,-0.7139,-5.0830,0.0000,hacienda,-1
0.8750,0.0000,1.0000,0,6.2866,1,0.7306,-0.7140,-5.0314,0.0000,hacienda,-1
0.8833,0.0000,1.0000,0,6.3643,1,0.7306,-0.7141,-4.9791,0.0000,hacienda,-1
0.8917,0.0000,1.0000,0,6.4418,1,0.7306,-0.7143,-4.9262,0.0000,hacienda,-1
0.9000,0.0000,1.0000,0,6.5193,1,0.7306,-0.7144,-4.8726,0.0000,hacienda,-1
0.9083,0.0000,1.0000,0,6.5967,1,0.7306,-0.7145,-4.8183,0.0000,hacienda,-1
0.9167,0.0000,1.0000,0,6.6740,1,0.7306,-0.7146,-4.7635,0.0000,hacienda,-1
0.9250,0.0000,1.0000,0,6.7512,1,0.7305,-0.7148,-4.7080,0.0000,hacienda,-1
0.9333,0.0000,1.0000,0,6.8283,1,0.7305,-0.7149,-4.6518,0.0000,hacienda,-1
0.9417,0.0000,1.0000,0,6.9053,1,0.7305,-0.7150,-4.5950,0.0000,hacienda,-1
0.9500,0.0000,1.0000,0,6.9822,1,0.7305,-0.7151,-4.5376,0.0000,hacienda,-1
0.9583,0.0000,1.0000,0,7.0590,1,0.7305,-0.7152,-4.4795,0.0000,hacienda,-1
0.9667,0.0000,1.0000,0,7.1357,1,0.7305,-0.7153,-4.4208,0.0000,hacienda,-1
0.9750,0.0000,1.0000,0,7.2124,1,0.7305,-0.7154,-4.3615,0.0000,hacienda,-1
0.9833,0.0000,1.0000,0,7.2889,1,0.7305,-0.7155,-4.3015,0.0000,hacienda,-1
0.9917,0.0000,1.0000,0,7.3654,1,0.7304,-0.7157,-4.2408,0.0000,hacienda,-1
1.0000,0.0000,1.0000,0,7.4417,1,0.7304,-0.7158,-4.1796,0.0000,hacienda,-1
1.0083,0.0000,1.0000,0,7.5180,1,0.7304,-0.7159,-4.1177,0.0000,hacienda,-1
1.0167,0.0000,1.0000,0,7.5941,1,0.7304,-0.7160,-4.0551,0.0000,hacienda,-1
1.0250,0.0000,1.0000,0,7.6702,1,0.7304,-0.7161,-3.9920,0.0000,hacienda,-1
1.0333,0.0000,1.0000,0,7.7462,1,0.7304,-0.7162,-3.9282,0.0000,hacienda,-1
1.0417,0.0000,1.0000,0,7.8221,1,0.7304,-0.7163,-3.8638,0.0000,hacienda,-1
1.0500,0.0000,1.0000,0,7.8978,1,0.7304,-0.7164,-3.7987,0.0000,hacienda,-1
1.0583,0.0000,1.0000,0,7.9735,1,0.7303,-0.7165,-3.7330,0.0000,hacienda,-1
1.0667,0.0000,1.0000,0,8.0491,1,0.7303,-0.7166,-3.6667,0.0000,hacienda,-1
1.0750,0.0000,1.0000,0,8.1246,1,0.7303,-0.7167,-3.5997,0.0000,hacienda,-1
1.0833,0.0000,1.0000,0,8.2000,1,0.7303,-0.7168,-3.5322,0.0000,hacienda,-1
1.0917,0.0000,1.0000,0,8.2752,1,0.7303,-0.7169,-3.4640,0.0000,hacienda,-1
1.1000,0.0000,1.0000,0,8.3504,1,0.7303,-0.7170,-3.3951,0.0000,hacienda,-1
1.1083,0.0000,1.0000,0,8.4255,1,0.7303,-0.7171,-3.3257,0.0000,hacienda,-1
1.1167,0.0000,1.0000,0,8.5005,1,0.7303,-0.7172,-3.2556,0.0000,hacienda,-1
1.1250,0.0000,1.0000,0,8.5754,1,0.7303,-0.7173,-3.1849,0.0000,hacienda,-1
1.1333,0.0000,1.0000,0,8.6502,1,0.7303,-0.7174,-3.1136,0.0000,hacienda,-1
1.1417,0.0000,1.0000,0,8.7249,1,0.7302,-0.7175,-3.0416,0.0000,hacienda,-1
1.1500,0.0000,1.0000,0,8.7994,1,0.7302,-0.7176,-2.9690,0.0000,hacienda,-1
1.1583,0.0000,1.0000,0,8.8739,1,0.7302,-0.7177,-2.8959,0.0000,hacienda,-1
1.1667,0.0000,1.0000,0,8.9483,1,0.7302,-0.7177,-2.8220,0.0000,hacienda,-1
1.1750,0.0000,1.0000,0,9.0226,1,0.7302,-0.7178,-2.7476,0.0000,hacienda,-1
1.1833,0.0000,1.0000,0,9.0968,1,0.7302,-0.7179,-2.6726,0.0000,hacienda,-1
1.1917,0.0000,1.0000,0,9.1709,1,0.7302,-0.7180,-2.5969,0.0000,hacienda,-1
1.2000,0.0000,1.0000,0,9.2448,1,0.7302,-0.7181,-2.5206,0.0000,hacienda,-1
1.2083,0.0000,1.0000,0,9.3187,1,0.7302,-0.7182,-2.4437,0.0000,hacienda,-1
1.2167,0.0000,1.0000,0,9.3925,1,0.7302,-0.7183,-2.3662,0.0000,hacienda,-1
1.2250,0.0000,1.0000,0,9.4661,1,0.7302,-0.7184,-2.2881,0.0000,hacienda,-1
1.2333,0.0000,1.0000,0,9.5397,1,0.7301,-0.7185,-2.2094,0.0000,hacienda,-1
1.2417,0.0000,1.0000,0,9.6132,1,0.7301,-0.7186,-2.1300,0.0000,hacienda,-1
1.2500,0.0000,1.0000,0,9.6865,1,0.7301,-0.7186,-2.0501,0.0000,hacienda,-1
1.2583,0.0000,1.0000,0,9.7598,1,0.7301,-0.7187,-1.9695,0.0000,hacienda,-1
1.2667,0.0000,1.0000,0,9.8329,1,0.7301,-0.7188,-1.8883,0.0000,hacienda,-1
