# Race Metadata
# Track: sandtrack
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: konqi
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,-1.2651,-140.5436,3.0596,0.0000,sandtrack,-1
0.0083,0.0000,0.0000,0,0.0000,1,-1.2650,-140.5439,3.0595,0.0000,sandtrack,-1
0.0167,0.0000,0.0000,0,0.0000,1,-1.2649,-140.5440,3.0595,0.0000,sandtrack,-1
0.0250,0.0000,0.0000,0,0.0000,1,-1.2648,-140.5440,3.0594,0.0000,sandtrack,-1
0.0333,0.0000,0.0000,0,0.0000,1,-1.2647,-140.5439,3.0594,0.0000,sandtrack,-1
0.0417,0.0000,0.0000,0,0.0000,1,-1.2646,-140.5439,3.0593,0.0000,sandtrack,-1
0.0500,0.0000,0.0000,0,0.0000,1,-1.2645,-140.5438,3.0592,0.0000,sandtrack,-1
0.0583,0.0000,0.0000,0,0.0000,1,-1.2643,-140.5438,3.0591,0.0000,sandtrack,-1
0.0667,0.0000,0.0000,0,0.0000,1,-1.2642,-140.5437,3.0590,0.0000,sandtrack,-1
0.0750,0.0000,0.0000,0,0.0000,1,-1.2641,-140.5437,3.0590,0.0000,sandtrack,-1
0.0833,0.0000,0.0000,0,0.0000,1,-1.2640,-140.5437,3.0589,0.0000,sandtrack,-1
0.0917,0.0000,0.0000,0,0.0000,1,-1.2638,-140.5436,3.0588,0.0000,sandtrack,-1
0.1000,0.0000,0.0000,0,0.0000,1,-1.2637,-140.5436,3.0587,0.0000,sandtrack,-1
0.1083,0.0000,0.0000,0,0.0000,1,-1.2636,-140.5436,3.0586,0.0000,sandtrack,-1
0.1167,0.0000,0.0000,0,0.0000,1,-1.2634,-140.5435,3.0586,0.0000,sandtrack,-1
0.1250,0.0000,1.0000,0,0.0000,1,-1.2633,-140.5435,3.0585,0.0000,sandtrack,-1
0.1333,0.0000,1.0000,0,0.0000,1,-1.2632,-140.5435,3.0584,0.0000,sandtrack,-1
0.1417,0.0000,1.0000,0,0.2369,1,-1.2630,-140.5435,3.0593,0.0000,sandtrack,-1
0.1500,0.0000,1.0000,0,0.3446,1,-1.2628,-140.5434,3.0611,0.0000,sandtrack,-1
0.1583,0.0000,1.0000,0,0.4558,1,-1.2626,-140.5433,3.0638,0.0000,sandtrack,-1
0.1667,0.0000,1.0000,0,0.5680,1,-1.2624,-140.5432,3.0675,0.0000,sandtrack,-1
0.1750,0.0000,1.0000,0,0.6808,1,-1.2621,-140.5432,3.0722,0.0000,sandtrack,-1
