# Race Metadata
# Track: scotland
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: hexley
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
1.0000,0.8069,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0083,0.8367,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0167,0.8665,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0250,0.8962,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0333,0.9260,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0417,0.9557,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0500,0.9855,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0583,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0667,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0750,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0833,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.0917,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.1000,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.1083,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.1167,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.1250,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.1333,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.1417,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.1500,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
1.1583,1.0000,0.0000,0,0.0000,1,-4.0066,0.6436,-5.6262,0.0000,scotland,-1
