# Race Metadata
# Track: scotland
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: adiumy
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,-4.0068,0.6429,-5.6262,0.0000,scotland,-1
0.0083,0.0000,0.0000,0,0.0000,1,-4.0068,0.6427,-5.6262,0.0000,scotland,-1
0.0167,0.0000,0.0000,0,0.0000,1,-4.0068,0.6426,-5.6262,0.0000,scotland,-1
0.0250,0.0000,0.0000,0,0.0000,1,-4.0068,0.6426,-5.6262,0.0000,scotland,-1
0.0333,0.0000,0.0000,0,0.0000,1,-4.0068,0.6427,-5.6262,0.0000,scotland,-1
0.0417,0.0000,0.0000,0,0.0000,1,-4.0068,0.6428,-5.6262,0.0000,scotland,-1
0.0500,0.0000,0.0000,0,0.0000,1,-4.0068,0.6428,-5.6262,0.0000,scotland,-1
0.0583,0.0000,0.0000,0,0.0000,1,-4.0068,0.6429,-5.6262,0.0000,scotland,-1
0.0667,0.0000,0.0000,0,0.0000,1,-4.0068,0.6429,-5.6262,0.0000,scotland,-1
0.0750,0.0000,0.0000,0,0.0000,1,-4.0068,0.6430,-5.6262,0.0000,scotland,-1
0.0833,0.0000,0.0000,0,0.0000,1,-4.0068,0.6430,-5.6262,0.0000,scotland,-1
0.0917,0.0000,0.0000,0,0.0000,1,-4.0068,0.6430,-5.6262,0.0000,scotland,-1
0.1000,0.0000,0.0000,0,0.0000,1,-4.0068,0.6431,-5.6262,0.0000,scotland,-1
0.1083,0.0000,0.0000,0,0.0000,1,-4.0068,0.6431,-5.6262,0.0000,scotland,-1
0.1167,0.0000,0.0000,0,0.0000,1,-4.0068,0.6432,-5.6262,0.0000,scotland,-1
0.1250,0.0000,0.0000,0,0.0000,1,-4.0068,0.6432,-5.6262,0.0000,scotland,-1
0.1333,0.0000,0.0000,0,0.0000,1,-4.0068,0.6432,-5.6262,0.0000,scotland,-1
0.1417,0.0000,0.0000,0,0.0000,1,-4.0068,0.6432,-5.6262,0.0000,scotland,-1
0.1500,0.0000,0.0000,0,0.0000,1,-4.0068,0.6433,-5.6262,0.0000,scotland,-1
0.1583,0.0000,0.0000,0,0.0000,1,-4.0068,0.6433,-5.6262,0.0000,scotland,-1
0.1667,0.0000,0.0000,0,0.0000,1,-4.0068,0.6433,-5.6262,0.0000,scotland,-1
