# Race Metadata
# Track: snowtuxpeak
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: adiumy
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
1.0000,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0083,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0167,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0250,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0333,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0417,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0500,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0583,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0667,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0750,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0833,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.0917,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1000,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1083,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1167,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1250,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1333,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1417,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1500,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1583,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1667,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1750,0.0000,0.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1833,0.0000,1.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.1917,0.0000,1.0000,0,0.0000,1,-196.3147,0.2357,26.8962,0.0000,snowtuxpeak,-1
1.2000,0.0000,1.0000,0,0.2468,1,-196.3147,0.2357,26.8972,0.0000,snowtuxpeak,-1
1.2083,0.0000,1.0000,0,0.3578,1,-196.3148,0.2357,26.8991,0.0000,snowtuxpeak,-1
1.2167,0.0000,1.0000,0,0.4715,1,-196.3150,0.2356,26.9020,0.0000,snowtuxpeak,-1
1.2250,0.0000,1.0000,0,0.5864,1,-196.3152,0.2356,26.9059,0.0000,snowtuxpeak,-1
1.2333,0.0000,1.0000,0,0.7019,1,-196.3155,0.2355,26.9107,0.0000,snowtuxpeak,-1
