# Race Metadata
# Track: cornfield_crossing
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: adiumy
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,-1.7958,-0.2912,12.0691,0.0000,cornfield_crossing,-1
0.0083,0.0000,0.0000,0,0.0000,1,-1.7957,-0.2915,12.0691,0.0000,cornfield_crossing,-1
0.0167,0.0000,0.0000,0,0.0000,1,-1.7956,-0.2916,12.0691,0.0000,cornfield_crossing,-1
0.0250,0.0000,0.0000,0,0.0000,1,-1.7955,-0.2915,12.0691,0.0000,cornfield_crossing,-1
0.0333,0.0000,0.0000,0,0.0000,1,-1.7954,-0.2915,12.0691,0.0000,cornfield_crossing,-1
0.0417,0.0000,0.0000,0,0.0000,1,-1.7952,-0.2914,12.0691,0.0000,cornfield_crossing,-1
0.0500,0.0000,0.0000,0,0.0000,1,-1.7951,-0.2913,12.0691,0.0000,cornfield_crossing,-1
0.0583,0.0000,0.0000,0,0.0000,1,-1.7950,-0.2913,12.0691,0.0000,cornfield_crossing,-1
0.0667,0.0000,0.0000,0,0.0000,1,-1.7948,-0.2912,12.0691,0.0000,cornfield_crossing,-1
0.0750,0.0000,0.0000,0,0.0000,1,-1.7947,-0.2912,12.0691,0.0000,cornfield_crossing,-1
0.0833,0.0000,0.0000,0,0.0000,1,-1.7945,-0.2912,12.0691,0.0000,cornfield_crossing,-1
0.0917,0.0000,0.0000,0,0.0000,1,-1.7944,-0.2911,12.0691,0.0000,cornfield_crossing,-1
0.1000,0.0000,0.0000,0,0.0000,1,-1.7943,-0.2911,12.0691,0.0000,cornfield_crossing,-1
0.1083,0.0000,0.0000,0,0.0000,1,-1.7941,-0.2911,12.0691,0.0000,cornfield_crossing,-1
0.1167,0.0000,0.0000,0,0.0000,1,-1.7940,-0.2910,12.0691,0.0000,cornfield_crossing,-1
0.1250,0.0000,0.0000,0,0.0000,1,-1.7938,-0.2910,12.0691,0.0000,cornfield_crossing,-1
0.1333,0.0000,0.0000,0,0.0000,1,-1.7937,-0.2910,12.0691,0.0000,cornfield_crossing,-1
0.1417,0.0000,0.0000,0,0.0000,1,-1.7936,-0.2909,12.0691,0.0000,cornfield_crossing,-1
0.1500,0.0000,0.0000,0,0.0000,1,-1.7934,-0.2909,12.0691,0.0000,cornfield_crossing,-1
0.1583,0.0000,0.0000,0,0.0000,1,-1.7933,-0.2909,12.0691,0.0000,cornfield_crossing,-1
0.1667,0.0000,0.0000,0,0.0000,1,-1.7931,-0.2909,12.0691,0.0000,cornfield_crossing,-1
0.1750,0.0000,0.0000,0,0.0000,1,-1.7930,-0.2908,12.0691,0.0000,cornfield_crossing,-1
0.1833,0.0000,0.0000,0,0.0000,1,-1.7928,-0.2908,12.0691,0.0000,cornfield_crossing,-1
0.1917,0.0000,0.0000,0,0.0000,1,-1.7927,-0.2908,12.0691,0.0000,cornfield_crossing,-1
0.2000,0.0000,0.0000,0,0.0000,1,-1.7926,-0.2908,12.0691,0.0000,cornfield_crossing,-1
0.2083,0.0000,0.0000,0,0.0000,1,-1.7924,-0.2908,12.0691,0.0000,cornfield_crossing,-1
