# Race Metadata
# Track: hacienda
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: adiumy
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,0.7333,-0.7045,-6.7563,0.0000,hacienda,-1
0.0083,0.0000,0.0000,0,0.0000,1,0.7333,-0.7048,-6.7563,0.0000,hacienda,-1
0.0167,0.0000,0.0000,0,0.0000,1,0.7333,-0.7049,-6.7563,0.0000,hacienda,-1
0.0250,0.0000,0.0000,0,0.0000,1,0.7333,-0.7048,-6.7563,0.0000,hacienda,-1
0.0333,0.0000,0.0000,0,0.0000,1,0.7333,-0.7048,-6.7563,0.0000,hacienda,-1
0.0417,0.0000,0.0000,0,0.0000,1,0.7333,-0.7047,-6.7563,0.0000,hacienda,-1
0.0500,0.0000,0.0000,0,0.0000,1,0.7332,-0.7046,-6.7563,0.0000,hacienda,-1
0.0583,0.0000,0.0000,0,0.0000,1,0.7332,-0.7046,-6.7563,0.0000,hacienda,-1
0.0667,0.0000,0.0000,0,0.0000,1,0.7332,-0.7045,-6.7563,0.0000,hacienda,-1
0.0750,0.0000,0.0000,0,0.0000,1,0.7332,-0.7045,-6.7563,0.0000,hacienda,-1
0.0833,0.0000,0.0000,0,0.0000,1,0.7331,-0.7045,-6.7563,0.0000,hacienda,-1
0.0917,0.0000,0.0000,0,0.0000,1,0.7331,-0.7044,-6.7563,0.0000,hacienda,-1
0.1000,0.0000,0.0000,0,0.0000,1,0.7331,-0.7044,-6.7563,0.0000,hacienda,-1
0.1083,0.0000,0.0000,0,0.0000,1,0.7331,-0.7043,-6.7563,0.0000,hacienda,-1
0.1167,0.0000,0.0000,0,0.0000,1,0.7330,-0.7043,-6.7563,0.0000,hacienda,-1
0.1250,0.0000,0.0000,0,0.0000,1,0.7330,-0.7043,-6.7563,0.0000,hacienda,-1
0.1333,0.0000,0.0000,0,0.0000,1,0.7330,-0.7043,-6.7563,0.0000,hacienda,-1
0.1417,0.0000,0.0000,0,0.0000,1,0.7330,-0.7042,-6.7563,0.0000,hacienda,-1
0.1500,0.0000,0.0000,0,0.0000,1,0.7330,-0.7042,-6.7563,0.0000,hacienda,-1
0.1583,0.0000,0.0000,0,0.0000,1,0.7329,-0.7042,-6.7563,0.0000,hacienda,-1
0.1667,0.0000,0.0000,0,0.0000,1,0.7329,-0.7042,-6.7563,0.0000,hacienda,-1
0.1750,0.0000,0.0000,0,0.0000,1,0.7329,-0.7041,-6.7563,0.0000,hacienda,-1
0.1833,0.0000,0.0000,0,0.0000,1,0.7329,-0.7041,-6.7563,0.0000,hacienda,-1
0.1917,0.0000,0.0000,0,0.0000,1,0.7328,-0.7041,-6.7563,0.0000,hacienda,-1
0.2000,0.0000,0.0000,0,0.0000,1,0.7328,-0.7041,-6.7563,0.0000,hacienda,-1
