# Race Metadata
# Track: cornfield_crossing
# Mode: STANDARD
# Laps: 3
# Difficulty: 2
# Number of Karts: 4
# Kart: hexley
#
time,steer,accel,brake,speed,on_ground,x,y,z,energy,track,lap
0.0000,0.0000,0.0000,0,0.0000,1,-1.7902,-0.2913,12.0690,0.0000,cornfield_crossing,-1
0.0083,0.0000,0.0000,0,0.0000,1,-1.7901,-0.2916,12.0690,0.0000,cornfield_crossing,-1
0.0167,0.0000,0.0000,0,0.0000,1,-1.7900,-0.2916,12.0690,0.0000,cornfield_crossing,-1
0.0250,0.0000,0.0000,0,0.0000,1,-1.7899,-0.2915,12.0690,0.0000,cornfield_crossing,-1
0.0333,0.0000,0.0000,0,0.0000,1,-1.7898,-0.2915,12.0690,0.0000,cornfield_crossing,-1
0.0417,0.0000,0.0000,0,0.0000,1,-1.7896,-0.2914,12.0690,0.0000,cornfield_crossing,-1
0.0500,0.0000,0.0000,0,0.0000,1,-1.7895,-0.2914,12.0690,0.0000,cornfield_crossing,-1
0.0583,0.0000,0.0000,0,0.0000,1,-1.7893,-0.2913,12.0690,0.0000,cornfield_crossing,-1
0.0667,0.0000,0.0000,0,0.0000,1,-1.7892,-0.2913,12.0690,0.0000,cornfield_crossing,-1
0.0750,0.0000,0.0000,0,0.0000,1,-1.7890,-0.2912,12.0690,0.0000,cornfield_crossing,-1
0.0833,0.0000,0.0000,0,0.0000,1,-1.7888,-0.2912,12.0690,0.0000,cornfield_crossing,-1
0.0917,0.0000,0.0000,0,0.0000,1,-1.7887,-0.2911,12.0690,0.0000,cornfield_crossing,-1
0.1000,0.0000,0.0000,0,0.0000,1,-1.7885,-0.2911,12.0690,0.0000,cornfield_crossing,-1
0.1083,0.0000,0.0000,0,0.0000,1,-1.7883,-0.2911,12.0690,0.0000,cornfield_crossing,-1
0.1167,0.0000,0.0000,0,0.0000,1,-1.7882,-0.2910,12.0690,0.0000,cornfield_crossing,-1
0.1250,0.0000,0.0000,0,0.0000,1,-1.7880,-0.2910,12.0690,0.0000,cornfield_crossing,-1
0.1333,0.0000,0.0000,0,0.0000,1,-1.7878,-0.2910,12.0690,0.0000,cornfield_crossing,-1
0.1417,0.0000,0.0000,0,0.0000,1,-1.7877,-0.2910,12.0690,0.0000,cornfield_crossing,-1
0.1500,0.0000,0.0000,0,0.0000,1,-1.7875,-0.2909,12.0690,0.0000,cornfield_crossing,-1
0.1583,0.0000,0.0000,0,0.0000,1,-1.7873,-0.2909,12.0690,0.0000,cornfield_crossing,-1
0.1667,0.0000,0.0000,0,0.0000,1,-1.7872,-0.2909,12.0690,0.0000,cornfield_crossing,-1
0.1750,0.0000,0.0000,0,0.0000,1,-1.7870,-0.2909,12.0690,0.0000,cornfield_crossing,-1
0.1833,0.0000,0.0000,0,0.0000,1,-1.7868,-0.2909,12.0690,0.0000,cornfield_crossing,-1
0.1917,0.0000,0.0000,0,0.0000,1,-1.7867,-0.2908,12.0690,0.0000,cornfield_crossing,-1
0.2000,0.0000,0.0000,0,0.0000,1,-1.7865,-0.2908,12.0690,0.0000,cornfield_crossing,-1
